trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.99}",30,0,-139.58010410378293,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.9801}",25,0,-73.06159607348836,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.970299}",20,0,-57.797264779763815,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.96059601}",35,0,-174.10777520116156,"{0: 19, 1: 2, 2: 12, 3: 1, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.9509900498999999}",25,0,-223.60329134240743,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
6,False,"{'a': 0.75, 'e': 0.941480149401}",25,0,-61.54192106444756,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.9320653479069899}",30,11,-173.90778035261417,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 4}",1
8,False,"{'a': 0.75, 'e': 0.9227446944279201}",25,0,-115.68390321139232,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.9135172474836408}",20,0,-63.49589878639663,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.9043820750088044}",25,0,-144.0391295318316,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.75, 'e': 0.8953382542587164}",25,0,-61.450294036726056,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.8863848717161292}",20,0,-50.093854704860426,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.8775210229989678}",20,0,-75.96036326082293,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.8687458127689782}",20,0,-90.74808478953722,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.75, 'e': 0.8600583546412884}",25,12,-36.124613277157295,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
16,False,"{'a': 0.75, 'e': 0.8514577710948755}",25,0,-130.6255902552359,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.75, 'e': 0.8429431933839268}",25,0,-94.34635184779496,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.8345137614500875}",25,0,-112.59155178046156,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.75, 'e': 0.8261686238355866}",25,8,-76.16964527999131,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.75, 'e': 0.8179069375972308}",30,0,-144.94111030389084,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.75, 'e': 0.8097278682212584}",20,0,-76.23670898846359,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.75, 'e': 0.8016305895390459}",20,0,-102.24216346948641,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.75, 'e': 0.7936142836436554}",25,16,-12.684862695261852,"{0: 5, 1: 4, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.75, 'e': 0.7856781408072188}",25,0,12.40432019772036,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.75, 'e': 0.7778213593991467}",25,0,-114.18497247403334,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.7700431458051551}",25,1,-69.1477789294518,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
27,False,"{'a': 0.75, 'e': 0.7623427143471035}",25,0,-136.8499643122051,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
28,False,"{'a': 0.75, 'e': 0.7547192872036326}",25,0,-151.87545501338963,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
29,False,"{'a': 0.75, 'e': 0.7471720943315961}",25,0,-68.82068109117665,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
30,False,"{'a': 0.75, 'e': 0.7397003733882802}",20,0,-94.86784233679542,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.75, 'e': 0.7323033696543975}",20,0,-20.51518267867843,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
32,False,"{'a': 0.75, 'e': 0.7249803359578534}",20,0,-34.810196840899906,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.75, 'e': 0.7177305325982749}",20,0,-55.0368619743274,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
34,False,"{'a': 0.75, 'e': 0.7105532272722921}",25,0,-50.970946608290106,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
