trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.9}",25,0,-64.07988098116721,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.65, 'e': 0.81}",20,0,-91.31553589708341,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.65, 'e': 0.7290000000000001}",20,12,11.15984374599294,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.65, 'e': 0.6561}",30,0,-135.36160635756053,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.65, 'e': 0.5904900000000001}",20,0,-113.52422418428847,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.65, 'e': 0.531441}",20,9,2.284573357347815,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.65, 'e': 0.4782969000000001}",25,7,-1.4719092058118872,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.65, 'e': 0.4304672100000001}",25,10,19.80299115550909,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.65, 'e': 0.3874204890000001}",35,0,23.374721002650286,"{0: 32, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.65, 'e': 0.3486784401000001}",25,9,-19.635429479942072,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.65, 'e': 0.31381059609000006}",20,0,-47.45214288601224,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
12,False,"{'a': 0.65, 'e': 0.2824295364810001}",20,14,9.806014240502465,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.65, 'e': 0.2541865828329001}",30,14,-33.9135610034972,"{0: 12, 1: 2, 2: 0, 3: 2, 4: 0}",1
14,False,"{'a': 0.65, 'e': 0.2287679245496101}",25,0,-13.68498795245921,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.65, 'e': 0.20589113209464907}",25,9,26.88729044883137,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.65, 'e': 0.18530201888518416}",20,14,8.877291599916393,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.65, 'e': 0.16677181699666577}",30,18,-19.176894821820955,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.65, 'e': 0.15009463529699918}",20,13,3.494025277147583,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.65, 'e': 0.13508517176729928}",20,6,-14.946610444704698,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.65, 'e': 0.12157665459056935}",20,8,12.580755027286472,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,12.720956480117682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,18.41204049620251,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,5,24.428916311534508,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,7,32.428373542891514,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,5,33.033660513922015,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,4,28.472165113915125,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,19.830711487675753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,20.89507997212228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,19.3104395965404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,34.98927649976313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
